date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:30	50/50	---M-Z	200	added ('OK')	text/plain	etag:%227080a6e-1e-4ef4821f17a40%22	http://www.cplusplus.com/robots.txt		(from )
11:05:30	26283/26283	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/index.html	(from )
11:05:31	22832/22832	---M-Z	200	added ('OK')	text/css	etag:%227080b16-5930-502527484fe40%22	http://www.cplusplus.com/v321/main.css	D:/MyWebsites/C++Reference/www.cplusplus.com/v321/main.css	(from http://www.cplusplus.com/reference/)
11:05:31	40724/40724	---M-Z	200	added ('OK')	application/javascript	etag:%227080b17-9f14-4fc0a3ec7da00%22	http://www.cplusplus.com/v321/main.js	D:/MyWebsites/C++Reference/www.cplusplus.com/v321/main.js	(from http://www.cplusplus.com/reference/)
11:05:32	14053/14053	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/cassert/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cassert/index.html	(from http://www.cplusplus.com/reference/)
11:05:32	21797/21797	---M-Z	200	added ('OK')	text/html	etag:1422607764	http://www.cplusplus.com/reference/cfenv/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cfenv/index.html	(from http://www.cplusplus.com/reference/)
11:05:32	22085/22085	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/cctype/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cctype/index.html	(from http://www.cplusplus.com/reference/)
11:05:32	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:00%20GMT	http://www.cplusplus.com/reference/iostream/cin.html	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/cin.html	(from http://www.cplusplus.com/reference/)
11:05:32	14047/14047	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/cerrno/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cerrno/index.html	(from http://www.cplusplus.com/reference/)
11:05:33	19938/19938	---M-Z	200	added ('OK')	text/html	etag:1494939496	http://www.cplusplus.com/reference/cfloat/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cfloat/index.html	(from http://www.cplusplus.com/reference/)
11:05:33	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:01%20GMT	http://www.cplusplus.com/reference/iostream/cout.html	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/cout.html	(from http://www.cplusplus.com/reference/)
11:05:33	21851/21851	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/cinttypes/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cinttypes/index.html	(from http://www.cplusplus.com/reference/)
11:05:33	14566/14566	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/ciso646/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/ciso646/index.html	(from http://www.cplusplus.com/reference/)
11:05:33	18246/18246	---M-Z	200	added ('OK')	text/html	etag:1392101781	http://www.cplusplus.com/reference/climits/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/climits/index.html	(from http://www.cplusplus.com/reference/)
11:05:33	17546/17546	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/clocale/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/clocale/index.html	(from http://www.cplusplus.com/reference/)
11:05:34	8813/8813	---M--	200	added ('OK')	image/gif	etag:%227080ae2-226d-4ef48247258c0%22	http://www.cplusplus.com/img/iostream.gif	D:/MyWebsites/C++Reference/www.cplusplus.com/img/iostream.gif	(from http://www.cplusplus.com/reference/)
11:05:34	37836/37836	---M-Z	200	added ('OK')	text/html	etag:1403696525	http://www.cplusplus.com/reference/cmath/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cmath/index.html	(from http://www.cplusplus.com/reference/)
11:05:34	14912/14912	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/csetjmp/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/csetjmp/index.html	(from http://www.cplusplus.com/reference/)
11:05:35	17262/17262	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/csignal/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/csignal/index.html	(from http://www.cplusplus.com/reference/)
11:05:35	16262/16262	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/cstdarg/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cstdarg/index.html	(from http://www.cplusplus.com/reference/)
11:05:35	14449/14449	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/cstdbool/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cstdbool/index.html	(from http://www.cplusplus.com/reference/)
